id,Study,Year,PDF link,PDF path,type,tp,fn,fp,tn,n_pos,n_neg,Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Source sheet,region_std,validation_std,prospective_std,vendor_inv,glaucoma_target_std,glaucoma_superclass,age_num,prevalence,modality_std,unit,arm_node,node_type,study_id,Sens_pt,Sens_lo,Sens_hi,Spec_pt,Spec_lo,Spec_hi,decade,size_tier,region_simple,validation_simple,ref_std_category,rob_overall,cohort_id,study_num,test_num,node,node_compare,pos,neg,ai_class
152,Guo (2022)a,2022,projects/glaucoma-dl-dta-nma/pdfs/Guo (2022)a.pdf,04_fulltext/pdfs/Guo (2022)a.pdf,AI-only,155,5,49,1391,160,1440,image,fundus,"glaucoma diagnostic labels from public datasets; LAG diagnosed by qualified glaucoma experts considering intraocular pressure, visual field and optic disc disease",Asia,internal (same-source split),retrospective,no,any,any,n/r,n/r,Proposed on REFUGE,codex_missing,Asia,internal (same-source split),retrospective,no,any,n/r,n/r,n/r,fundus,n/r,Proposed on REFUGE,AI-only,Guo (2022)a,0.9688,0.9289,0.9866,0.9660,0.9553,0.9742,2020-24,large,Asia,internal,expert_clinical,unclear,Guo (2022)a,130,1,AI-only,AI-vs-Reader,160,1440,deep learning
153,Lin (2022)a,2022,projects/glaucoma-dl-dta-nma/pdfs/Lin (2022)a.pdf,04_fulltext/pdfs/Lin (2022)a.pdf,AI-only,1256,1065,1548,33470,2321,35018,image,fundus,"OHTS: Visual Field Reading Center and Optic Disc Reading Center assessments with masked senior adjudication/Endpoint Committee criteria; LAG: qualified glaucoma specialists using morphology, intraocular pressure, visual field loss, and manual optic disc assessment.",mixed,internal,mixed,no,POAG,any,n/r,n/r,OHTS dataset - GlaucomaNet,codex_missing,mixed,internal,mixed,no,POAG,n/r,n/r,n/r,fundus,n/r,OHTS dataset - GlaucomaNet,AI-only,Lin (2022)a,0.5411,0.5208,0.5613,0.9558,0.9536,0.9579,2020-24,very large,mixed,internal,expert_clinical,unclear,Lin (2022)a,131,1,AI-only,AI-vs-Reader,2321,35018,deep learning
154,Maetschke (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Maetschke (2021).pdf,04_fulltext/pdfs/Maetschke (2021).pdf,AI-only,22,7,5,30,29,35,image,OCT,"Expert ophthalmologist diagnosis using European glaucoma guideline protocol including IOP by Goldmann applanation tonometry, central corneal thickness, gonioscopy, slit-lamp optic nerve head assessment, standard automated perimetry, and OCT/HRT RNFL and ganglion cell layer assessment",Europe,both,retrospective,no,confirmed,any,n/r,n/r,Proposed method (RAGNet + SWM) (vol-DB-3 primary test set),codex_missing,Europe,both,retrospective,no,confirmed,n/r,n/r,n/r,OCT,n/r,Proposed method (RAGNet + SWM) (vol-DB-3 primary test set),AI-only,Maetschke (2021),0.7586,0.5789,0.8778,0.8571,0.7062,0.9374,2020-24,small,non-Asia,n/r,expert_clinical,unclear,Maetschke (2021),132,1,AI-only,AI-vs-Reader,29,35,deep learning
155,Shehryar (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Shehryar (2020).pdf,04_fulltext/pdfs/Shehryar (2020).pdf,Human-only,28,7,8,23,35,31,image,multimodal,AFIO ground-truth labels/clinical diagnosis annotated and validated by four ophthalmologists,Asia,both,cross-sectional,no,any glaucoma,any,n/r,n/r,H-CAD system vs Ophthalmologist 1 (junior) reference — AFIO clinical cohort,claude_opus_v4,Asia,both,cross-sectional,no,any glaucoma,n/r,n/r,n/r,multimodal,n/r,H-CAD system vs Ophthalmologist 1 (junior) reference — AFIO clinical cohort,Human-only,Shehryar (2020),0.8000,0.6411,0.8996,0.7419,0.5675,0.8630,2020-24,small,Asia,n/r,expert_clinical,unclear,Shehryar (2020),76,2,Human-only,AI-vs-Reader,35,31,human reader
156,Garcia-Lopez (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Garcia-Lopez (2026).pdf,04_fulltext/pdfs/Garcia-Lopez (2026).pdf,AI-only,11,5,5,104,16,109,image,multimodal,Public dataset labels and ophthalmologist consensus; external datasets labeled by four ophthalmologists with suspicious cases excluded,mixed,both,retrospective,no,any,any,n/r,n/r,Multi-modal CNN ensemble (Majority Voting) — IMO Mexico external test,claude_opus_v4,mixed,both,retrospective,no,any,n/r,n/r,n/r,multimodal,n/r,Multi-modal CNN ensemble (Majority Voting) — IMO Mexico external test,AI-only,Garcia-Lopez (2026),0.6875,0.4440,0.8584,0.9541,0.8971,0.9802,2025+,small,mixed,n/r,expert_clinical,unclear,Garcia-Lopez (2026),133,1,AI-only,AI-vs-Reader,16,109,deep learning
157,Haider (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Haider (2022).pdf,04_fulltext/pdfs/Haider (2022).pdf,AI-only,27,13,17,343,40,360,image,fundus,"expert annotations from public dataset ground truth (Drishti-GS, REFUGE, Rim-One-r3, Drions-DB)",Asia,both,retrospective,no,screening,any,n/r,n/r,SLSR-Net (segmentation-based glaucoma classification) — REFUGE,claude_opus_v4,Asia,both,retrospective,no,screening,n/r,n/r,n/r,fundus,n/r,SLSR-Net (segmentation-based glaucoma classification) — REFUGE,AI-only,Haider (2022),0.6750,0.5202,0.7992,0.9528,0.9257,0.9703,2020-24,medium,Asia,n/r,expert_clinical,unclear,Haider (2022),134,1,AI-only,AI-vs-Reader,40,360,deep learning
158,Xu (2021)a,2021,projects/glaucoma-dl-dta-nma/pdfs/Xu (2021)a.pdf,04_fulltext/pdfs/Xu (2021)a.pdf,AI-only,745,132,132,873,877,1005,image,fundus,manual labeling by professional ophthalmologists from Beijing Tongren Eye Center,Asia,both,retrospective,no,glaucoma,any,n/r,n/r,TIA-Net (SOD+Attention) — Ours database (Beijing Tongren),claude_opus_v4,Asia,both,retrospective,no,glaucoma,n/r,n/r,n/r,fundus,n/r,TIA-Net (SOD+Attention) — Ours database (Beijing Tongren),AI-only,Xu (2021)a,0.8495,0.8243,0.8716,0.8687,0.8464,0.8881,2020-24,large,Asia,n/r,expert_clinical,unclear,Xu (2021)a,135,1,AI-only,AI-vs-Reader,877,1005,deep learning
159,Lian (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Lian (2024).pdf,04_fulltext/pdfs/Lian (2024).pdf,AI-only,290,10,17,283,300,300,image,fundus,"Expert annotation by a senior ophthalmologist (Tongren Eye Hospital, >10 years experience) using visual field, retinal layer thickness map, and other clinical indicators",Asia,internal,retrospective,unclear,any,any,n/r,n/r,"CNN-Vision Transformer (Inception-ResNet-v2 + ViT) — Messidor partial binary (DR vs Healthy, 300 DR + 300 Healthy)",claude_opus_v4,Asia,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,"CNN-Vision Transformer (Inception-ResNet-v2 + ViT) — Messidor partial binary (DR vs Healthy, 300 DR + 300 Healthy)",AI-only,Lian (2024),0.9667,0.9397,0.9818,0.9433,0.9111,0.9643,2020-24,medium,Asia,internal,expert_clinical,unclear,Lian (2024),136,1,AI-only,AI-vs-Reader,300,300,deep learning
160,Noury (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Noury (2022).pdf,04_fulltext/pdfs/Noury (2022).pdf,Human-only,36,13,3,48,49,51,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Proposed 3D CNN - Stanford 100-case human-grader subset at matched specificity,codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,Proposed 3D CNN - Stanford 100-case human-grader subset at matched specificity,Human-only,Noury (2022),0.7347,0.5974,0.8379,0.9412,0.8408,0.9798,2020-24,small,mixed,internal,expert_clinical,unclear,Noury (2022),19,2,Human-only,AI-vs-Reader,49,51,human reader
161,Xu (2021)b,2021,projects/glaucoma-dl-dta-nma/pdfs/Xu (2021)b.pdf,04_fulltext/pdfs/Xu (2021)b.pdf,Human-only,144,256,28,372,400,400,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,"Technician group, independent diagnosis, validation dataset 3, pooled 4 readers",codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,"Technician group, independent diagnosis, validation dataset 3, pooled 4 readers",Human-only,Xu (2021)b,0.3600,0.3145,0.4082,0.9300,0.9007,0.9511,2020-24,medium,mixed,internal,expert_clinical,unclear,Xu (2021)b,52,2,Human-only,AI-vs-Reader,400,400,human reader
162,Shibata (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Shibata (2018).pdf,04_fulltext/pdfs/Shibata (2018).pdf,Human-only,45,16,14,35,61,49,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Resident in Ophthalmology A - all testing eyes,codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,Resident in Ophthalmology A - all testing eyes,Human-only,Shibata (2018),0.7377,0.6156,0.8316,0.7143,0.5759,0.8215,2015-19,small,mixed,internal,expert_clinical,unclear,Shibata (2018),53,2,Human-only,AI-vs-Reader,61,49,human reader
163,Wang (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Wang (2020).pdf,04_fulltext/pdfs/Wang (2020).pdf,AI-only,699,107,65,360,806,425,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,"2D-ResNet-SEMT (proposed semi-supervised multi-task) - Stanford external test, volume-level",codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,"2D-ResNet-SEMT (proposed semi-supervised multi-task) - Stanford external test, volume-level",AI-only,Wang (2020),0.8672,0.8421,0.8889,0.8471,0.8097,0.8782,2020-24,large,mixed,internal,expert_clinical,unclear,Wang (2020),137,1,AI-only,AI-vs-Reader,806,425,deep learning
164,Wang (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Wang (2020).pdf,04_fulltext/pdfs/Wang (2020).pdf,Human-only,539,61,24,343,600,367,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,"Glaucoma Expert 1 - HK internal test, volume-level",codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,"Glaucoma Expert 1 - HK internal test, volume-level",Human-only,Wang (2020),0.8983,0.8716,0.9200,0.9346,0.9045,0.9557,2020-24,medium,mixed,internal,expert_clinical,unclear,Wang (2020),137,2,Human-only,AI-vs-Reader,600,367,human reader
165,Muhammad (2017),2017,projects/glaucoma-dl-dta-nma/pdfs/Muhammad (2017).pdf,04_fulltext/pdfs/Muhammad (2017).pdf,Human-only,56,1,1,44,57,45,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,"OCT/report specialist, single-page wide-field OCT report without VF information",codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,"OCT/report specialist, single-page wide-field OCT report without VF information",Human-only,Muhammad (2017),0.9825,0.9071,0.9969,0.9778,0.8843,0.9961,2015-19,small,mixed,internal,expert_clinical,unclear,Muhammad (2017),58,2,Human-only,AI-vs-Reader,57,45,human reader
166,Mariottoni (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Mariottoni (2021).pdf,04_fulltext/pdfs/Mariottoni (2021).pdf,Human-only,196,54,0,283,250,283,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Glaucoma specialists final subjective assessment; glaucoma-only positive threshold; objective normal/glaucoma reference,codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,Glaucoma specialists final subjective assessment; glaucoma-only positive threshold; objective normal/glaucoma reference,Human-only,Mariottoni (2021),0.7840,0.7289,0.8305,1.0000,0.9866,1.0000,2020-24,medium,mixed,internal,expert_clinical,unclear,Mariottoni (2021),57,2,Human-only,AI-vs-Reader,250,283,human reader
167,Civit-Masot (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Civit-Masot (2020).pdf,04_fulltext/pdfs/Civit-Masot (2020).pdf,Human-only,43,21,11,73,64,84,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Human/manual segmentation CDR classifier (RIM-ONE; Figure 12),codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,Human/manual segmentation CDR classifier (RIM-ONE; Figure 12),Human-only,Civit-Masot (2020),0.6719,0.5500,0.7743,0.8690,0.7805,0.9253,2020-24,small,mixed,internal,expert_clinical,unclear,Civit-Masot (2020),138,2,Human-only,AI-vs-Reader,64,84,human reader
168,Civit-Masot (2020),2020,projects/glaucoma-dl-dta-nma/pdfs/Civit-Masot (2020).pdf,04_fulltext/pdfs/Civit-Masot (2020).pdf,AI-only,57,7,17,67,64,84,image,fundus,expert ophthalmologist,mixed,internal,retrospective,unclear,any,any,n/r,n/r,Ensemble: Generalized U-Net CDR classifier plus MobileNet V2 direct classifier (RIM-ONE; Figure 12),codex_v5_vision,mixed,internal,retrospective,unclear,any,n/r,n/r,n/r,fundus,n/r,Ensemble: Generalized U-Net CDR classifier plus MobileNet V2 direct classifier (RIM-ONE; Figure 12),AI-only,Civit-Masot (2020),0.8906,0.7910,0.9460,0.7976,0.6996,0.8696,2020-24,small,mixed,internal,expert_clinical,unclear,Civit-Masot (2020),138,1,AI-only,AI-vs-Reader,64,84,rule-based (percentile/CDR)
