Study,Year,Test_arm,AI_algorithm,Number_of_human_readers,Reader_experience_yrs,Reader_age,Reader_sex_female_pct,Validation_type,Reference_standard,Threshold_cutoff,Unit,Imaging_modality,Scan_target
Orlando (2020),2020,Masker,Linear combination of vCDR and ensemble ResNet-50/101/152 predictions,2,n/r,n/r,n/r,external,"Clinical diagnosis (follow-up records, OCT, VF, IOP)",Sensitivity at specificity = 0.85,image,fundus,full retina
Orlando (2020),2020,SMILEDeepDR,DeepLabv3+ adapted as classifier with global average pooling + FC layer,2,n/r,n/r,n/r,external,"Clinical diagnosis (follow-up records, OCT, VF, IOP)",Sensitivity at specificity = 0.85,image,fundus,ONH
Orlando (2020),2020,BUCT,Xception network trained from scratch on grayscale ONH crops,2,n/r,n/r,n/r,external,"Clinical diagnosis (follow-up records, OCT, VF, IOP)",Sensitivity at specificity = 0.85,image,fundus,ONH
Orlando (2020),2020,WinterFell,"Ensemble of ResNet-101/-152 and DenseNet-169/-201 pre-trained on ImageNet, fine-tuned on ORIGA",2,n/r,n/r,n/r,external,"Clinical diagnosis (follow-up records, OCT, VF, IOP)",Sensitivity at specificity = 0.85,image,fundus,ONH
Orlando (2020),2020,NightOwl,"Custom dense U-shaped classification network using features from segmentation encoders, 10-fold ensemble",2,n/r,n/r,n/r,external,"Clinical diagnosis (follow-up records, OCT, VF, IOP)",Sensitivity at specificity = 0.85,image,fundus,ONH
Orlando (2020),2020,Cvblab,"Ensemble of VGG19, InceptionV3, ResNet-50, Xception (ImageNet pre-trained, SMOTE-balanced)",2,n/r,n/r,n/r,external,"Clinical diagnosis (follow-up records, OCT, VF, IOP)",Sensitivity at specificity = 0.85,image,fundus,full retina
Orlando (2020),2020,AIML,"Ensemble of ResNet-50/-101/-152/-38 (ImageNet pre-trained, fine-tuned on REFUGE)",2,n/r,n/r,n/r,external,"Clinical diagnosis (follow-up records, OCT, VF, IOP)",Sensitivity at specificity = 0.85,image,fundus,full retina + ONH
Orlando (2020),2020,Ground truth vCDR,Vertical cup-to-disc ratio from expert OD/OC annotations (clinical biomarker reference),2,n/r,n/r,n/r,external,"Clinical diagnosis (follow-up records, OCT, VF, IOP)",Sensitivity at specificity = 0.85,image,fundus,ONH
Juneja (2020),2020,GC-NET (proposed),Custom 76-layer CNN with separable convolutions and skip connections,n/r,n/r,n/r,n/r,internal,DRISHTI-GS and RIM-ONE ground-truth labels,sigmoid output (default 0.5),image,fundus,ONH
Juneja (2020),2020,Xception,"Xception (36 convolutional layers, depthwise separable convolutions)",n/r,n/r,n/r,n/r,internal,DRISHTI-GS and RIM-ONE ground-truth labels,sigmoid output (default 0.5),image,fundus,ONH
Juneja (2020),2020,InceptionV3,InceptionV3 (48-layer CNN),n/r,n/r,n/r,n/r,internal,DRISHTI-GS and RIM-ONE ground-truth labels,sigmoid output (default 0.5),image,fundus,ONH
Juneja (2020),2020,ResNet50,ResNet50 (50-layer residual CNN),n/r,n/r,n/r,n/r,internal,DRISHTI-GS and RIM-ONE ground-truth labels,sigmoid output (default 0.5),image,fundus,ONH
Juneja (2020),2020,DenseNet121,DenseNet121 (densely connected CNN),n/r,n/r,n/r,n/r,internal,DRISHTI-GS and RIM-ONE ground-truth labels,sigmoid output (default 0.5),image,fundus,ONH
Juneja (2020),2020,VGG16,VGG16 (16-layer CNN),n/r,n/r,n/r,n/r,internal,DRISHTI-GS and RIM-ONE ground-truth labels,sigmoid output (default 0.5),image,fundus,ONH
Pandey (2024),2024,Deep Convolutional Ensemble (DCE),"Ensemble of 5 InceptionV3 CNNs (ImageNet-pretrained, majority vote)",n/r,n/r,n/r,n/r,internal,original public-dataset disease labels,majority vote of 5 networks; softmax >0.5 = confident,image,fundus,full retina
Pandey (2024),2024,Board-certified ophthalmologists,n/r,7,2.4,n/r,n/r,internal,original public-dataset disease labels,single forced-choice class per image; self-rated confident/not confident,image,fundus,full retina
Islam (2025),2025,Fundus-only,ResNet-18 (ImageNet pre-trained),n/r,n/r,n/r,n/r,internal,senior ophthalmologist clinical diagnosis,0.5,eye,fundus,ONH
Islam (2025),2025,OCT-only,"Custom 4-layer CNN (Conv+BN+ReLU+MaxPool, 32-64-128-256 filters, GAP, FC)",n/r,n/r,n/r,n/r,internal,senior ophthalmologist clinical diagnosis,0.5,eye,OCT,ONH / RNFL (peripapillary B-scan)
Islam (2025),2025,Fusion (Fundus + OCT),"Mid-level feature fusion: ResNet-18 (512-d) + custom OCT CNN (128-d) concatenated to 640-d, dropout 0.5, FC 640->128->2, softmax",n/r,n/r,n/r,n/r,internal,senior ophthalmologist clinical diagnosis,0.5,eye,multimodal,ONH (fundus) + ONH/RNFL (OCT)
Garcia-Lopez (2026),2026,CFP+OCT CNN ensemble (MBWVe) — Pakistani AFIO database,"Late-fusion ensemble of ResNet50, DenseNet169, InceptionV3 (CFP) and MobileNetV3, Xception, ResNet50 (OCT) combined via Metric-Based Weighted Voting (exponential)",4,n/r,n/r,n/r,external,majority agreement of 4 ophthalmologists' image-based labels,n/r,image,CFP + OCT (multimodal),ONH
Garcia-Lopez (2026),2026,CFP+OCT CNN ensemble (AV/MBWV) — IMO Mexico database,"Late-fusion ensemble of ResNet50, DenseNet169, InceptionV3 (CFP) and MobileNetV3, Xception, ResNet50 (OCT) combined via Averaging / Metric-Based Weighted Voting",4,n/r,n/r,n/r,external,labels from 4 ophthalmologists at Instituto Mexicano de Oftalmología,n/r,image,CFP + OCT (multimodal),ONH
Yang (2020),2020,ResNet-50 (GON vs NGON),ResNet-50 CNN (ImageNet transfer learning),n/r,n/r,n/r,n/r,internal,Two expert neuro-ophthalmologists confirmed by visual field testing and OCT,n/r,image,color fundus photography,ONH
Yang (2020),2020,ResNet-50 (GON vs normal + NGON),ResNet-50 CNN (ImageNet transfer learning),n/r,n/r,n/r,n/r,internal,Two expert neuro-ophthalmologists confirmed by visual field testing and OCT,n/r,image,color fundus photography,ONH
Jammal (2020),2020,M2M DL algorithm,ResNet34 (pretrained on ImageNet),n/r,n/r,n/r,n/r,internal,Repeatable glaucomatous visual field loss on SAP,n/r,eye,fundus,ONH
Jammal (2020),2020,Human graders (probability of GON),n/r,2,n/r,n/r,n/r,internal,Repeatable glaucomatous visual field loss on SAP,n/r,eye,fundus,ONH
Phene (2019),2019,DL algorithm — validation dataset A,Inception-v3 (ensemble of 10),n/r,n/r,n/r,n/r,internal,Adjudicated panel of 3 fellowship-trained glaucoma specialists grading fundus photographs,"balanced operating point (sensitivity 80.0%, specificity 90.2%)",image,fundus,ONH
Phene (2019),2019,DL algorithm — validation dataset B (VA Atlanta teleretinal),Inception-v3 (ensemble of 10),6,n/r,n/r,n/r,external,Glaucoma-related ICD-9/ICD-10 codes and ONH referral codes from teleretinal screening program with access to EMR,n/r,patient,fundus,macula
Phene (2019),2019,DL algorithm — validation dataset C (Dr. Shroff's),Inception-v3 (ensemble of 10),4,n/r,n/r,n/r,external,"Glaucoma specialist diagnosis based on full glaucoma workup (history, clinical examination, visual field, OCT)",n/r,eye,fundus,ONH and macula
Phene (2019),2019,Glaucoma specialists (n=3) — validation dataset A subset,n/r,3,n/r,n/r,n/r,internal,Adjudicated panel of 3 fellowship-trained glaucoma specialists grading fundus photographs,"sensitivity 37.5%–63.9%, specificity 85.5%–90.6%",image,fundus,ONH
Phene (2019),2019,Ophthalmologists (n=4) — validation dataset A subset,n/r,4,n/r,n/r,n/r,internal,Adjudicated panel of 3 fellowship-trained glaucoma specialists grading fundus photographs,"sensitivity 29.2%–73.6%, specificity 75.8%–90.6%",image,fundus,ONH
Phene (2019),2019,Optometrists (n=3) — validation dataset A subset,n/r,3,n/r,n/r,n/r,internal,Adjudicated panel of 3 fellowship-trained glaucoma specialists grading fundus photographs,"sensitivity 29.2%–70.8%, specificity 87.6%–92.6%",image,fundus,ONH
Ramzan (2019),2019,Proposed CDR-based classifier,"Classical image processing (bilateral+median filtering, OTSU thresholding, centroid-based thresholding, linear interpolation of ILM, RPE breakpoint extraction, CDR threshold rule)",4,n/r,n/r,n/r,internal,Ophthalmologist-annotated CDR,CDR ≥ 0.5,image,"SD-OCT (Topcon 3D OCT-1000, ONH-centred B-scans)",ONH
Ramzan (2019),2019,"Computer-generated CDR (CCGV, OCT built-in software)",Topcon 3D OCT-1000 built-in CDR software,4,n/r,n/r,n/r,internal,Ophthalmologist-annotated CDR,CDR ≥ 0.5,image,SD-OCT (Topcon 3D OCT-1000),ONH
Lee (2020),2020,Ensemble training model,NASNet-A (large) bottleneck features + 4-layer fully-connected DNN (4000/2000/1000/1000) + softmax,3,n/r,n/r,n/r,internal,Stereo disc photography and red-free RNFL photography by 3 glaucoma specialists,0.5 probability (Youden index optimal),eye,SD-OCT,ONH (RNFL) + macula (GCIPL) thickness and deviation maps
Lee (2020),2020,GCIPL thickness map single-modality model,NASNet-A (large) bottleneck features + softmax classifier,3,n/r,n/r,n/r,internal,Stereo disc photography and red-free RNFL photography by 3 glaucoma specialists,Youden index optimal,eye,SD-OCT,macula (GCIPL thickness map)
Lee (2020),2020,GCIPL deviation map single-modality model,NASNet-A (large) bottleneck features + softmax classifier,3,n/r,n/r,n/r,internal,Stereo disc photography and red-free RNFL photography by 3 glaucoma specialists,Youden index optimal,eye,SD-OCT,macula (GCIPL deviation map)
Lee (2020),2020,RNFL thickness map single-modality model,NASNet-A (large) bottleneck features + softmax classifier,3,n/r,n/r,n/r,internal,Stereo disc photography and red-free RNFL photography by 3 glaucoma specialists,Youden index optimal,eye,SD-OCT,ONH (RNFL thickness map)
Lee (2020),2020,RNFL deviation map single-modality model,NASNet-A (large) bottleneck features + softmax classifier,3,n/r,n/r,n/r,internal,Stereo disc photography and red-free RNFL photography by 3 glaucoma specialists,Youden index optimal,eye,SD-OCT,ONH (RNFL deviation map)
Zemborain (2020),2020,OCT specialist (human reader),n/r,1,n/r,n/r,n/r,internal,Glaucoma specialist classification using all available clinical information,n/r,eye,OCT,ONH and macula (Spectralis circle scans 3.5/4.1/4.7 mm and macular cube scans for RNFL and GCL thickness maps)
Civit-Masot (2020),2020,Segmentation subsystem (U-Net + CDR),Generalized 6-level U-Net (<2.5M params) + RANSAC ellipse fitting; CDR threshold classifier,n/r,n/r,n/r,n/r,internal,Expert ophthalmologist labels from RIM-ONE v3 and DRISHTI-GS,CDR = 0.52,image,fundus,ONH (disc and cup)
Civit-Masot (2020),2020,Direct classification subsystem (MobileNet V2),"MobileNet V2 (ImageNet-pretrained, transfer learning) with average pooling + 80-node dense + dropout + 2-node softmax",n/r,n/r,n/r,n/r,internal,Expert ophthalmologist labels from RIM-ONE v3 and DRISHTI-GS,n/r,image,fundus,full retina
Civit-Masot (2020),2020,Ensemble (U-Net CDR + MobileNet V2),OR-voting ensemble combining U-Net/CDR segmentation classifier and MobileNet V2 direct classifier,n/r,n/r,n/r,n/r,internal,Expert ophthalmologist labels from RIM-ONE v3 and DRISHTI-GS,Positive if either classifier positive (CDR>0.52 OR MobileNet positive),image,fundus,ONH and full retina
Rasel (2024),2024,2D-ResNet18 (pre-trained) — macular-OCT,"ResNet18 (2D, ImageNet1k pre-trained) + XGBoost B-scan aggregation",n/r,n/r,n/r,n/r,internal,ICD-10 H40.1 (POAG),Youden Index,eye,"OCT (Topcon 3D OCT-1000 Mk2, spectral-domain)",macula
Rasel (2024),2024,3D-ResNet18 (scratch) — macular-OCT,3D-ResNet18 trained from scratch,n/r,n/r,n/r,n/r,internal,ICD-10 H40.1 (POAG),Youden Index,eye,OCT (Topcon 3D OCT-1000 Mk2),macula
Rasel (2024),2024,"3D-ResNet18 (pre-trained, weight-transfer) — macular-OCT",3D-ResNet18 with 2D→3D dimensionality-expanded ImageNet1k weights,n/r,n/r,n/r,n/r,internal,ICD-10 H40.1 (POAG),Youden Index,eye,OCT (Topcon 3D OCT-1000 Mk2),macula
Rasel (2024),2024,3D-DenseNet121 (scratch) — macular-OCT,3D-DenseNet121 trained from scratch,n/r,n/r,n/r,n/r,internal,ICD-10 H40.1 (POAG),Youden Index,eye,OCT (Topcon 3D OCT-1000 Mk2),macula
Rasel (2024),2024,"3D-DenseNet121 (pre-trained, weight-transfer) — macular-OCT",3D-DenseNet121 with 2D→3D dimensionality-expanded ImageNet1k weights,n/r,n/r,n/r,n/r,internal,ICD-10 H40.1 (POAG),Youden Index,eye,OCT (Topcon 3D OCT-1000 Mk2),macula
Rasel (2024),2024,3D-CNN-Encoder (scratch) — macular-OCT,Custom 5-layer 3D-CNN-Encoder (Maetschke-style),n/r,n/r,n/r,n/r,internal,ICD-10 H40.1 (POAG),Youden Index,eye,OCT (Topcon 3D OCT-1000 Mk2),macula
Rasel (2024),2024,2D-ResNet18 (pre-trained) — ONH-OCT,"ResNet18 (2D, ImageNet1k pre-trained) + XGBoost B-scan aggregation",n/r,n/r,n/r,n/r,internal,dataset-provided POAG labels (Maetschke et al.),Youden Index,eye,"OCT (Cirrus SD-OCT, Zeiss)",ONH
Rasel (2024),2024,3D-ResNet18 (scratch) — ONH-OCT,3D-ResNet18 trained from scratch,n/r,n/r,n/r,n/r,internal,dataset-provided POAG labels (Maetschke et al.),Youden Index,eye,"OCT (Cirrus SD-OCT, Zeiss)",ONH
Rasel (2024),2024,"3D-ResNet18 (pre-trained, weight-transfer) — ONH-OCT",3D-ResNet18 with 2D→3D dimensionality-expanded ImageNet1k weights,n/r,n/r,n/r,n/r,internal,dataset-provided POAG labels (Maetschke et al.),Youden Index,eye,"OCT (Cirrus SD-OCT, Zeiss)",ONH
Rasel (2024),2024,3D-DenseNet121 (scratch) — ONH-OCT,3D-DenseNet121 trained from scratch,n/r,n/r,n/r,n/r,internal,dataset-provided POAG labels (Maetschke et al.),Youden Index,eye,"OCT (Cirrus SD-OCT, Zeiss)",ONH
Rasel (2024),2024,"3D-DenseNet121 (pre-trained, weight-transfer) — ONH-OCT",3D-DenseNet121 with 2D→3D dimensionality-expanded ImageNet1k weights,n/r,n/r,n/r,n/r,internal,dataset-provided POAG labels (Maetschke et al.),Youden Index,eye,"OCT (Cirrus SD-OCT, Zeiss)",ONH
Rasel (2024),2024,3D-CNN-Encoder (scratch) — ONH-OCT,Custom 5-layer 3D-CNN-Encoder (Maetschke-style),n/r,n/r,n/r,n/r,internal,dataset-provided POAG labels (Maetschke et al.),Youden Index,eye,"OCT (Cirrus SD-OCT, Zeiss)",ONH
