Study,Year,PDF link,PDF path,Arm / test,TP,FN,FP,TN,N positive,N negative,Sensitivity,Specificity,AUC (raw),Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Threshold,Source sheet,Sens_pt,Sens_lo,Sens_hi,Spec_pt,Spec_lo,Spec_hi,N_pos_calc,N_neg_calc,decade,size_tier,region_simple,validation_simple,ref_std_category,rob_overall,ai_class
Chuter (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Chuter (2026).pdf,04_fulltext/pdfs/Chuter (2026).pdf,RETFound OCT unimodal,2256,1269,114,2158,3525,2272,0.64,0.9498,0.93 (0.90-0.96),image,combined,expert ophthalmologist,North America,internal,retrospective,no,confirmed,unspecified,60.3,0.608,"RETFound (SSL foundation model, ViT) fine-tuned on OCT",95% specificity,claude_pdf,0.6400,0.6240,0.6557,0.9498,0.9401,0.9581,3525,2272,2025+,very large,non-Asia,internal,expert_clinical,unclear,deep learning
Chuter (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Chuter (2026).pdf,04_fulltext/pdfs/Chuter (2026).pdf,RETFound multimodal CFP+OCT,8170,3501,376,7149,11671,7525,0.7,0.95,0.94 (0.91-0.97),image,combined,expert ophthalmologist,North America,internal,retrospective,no,confirmed,unspecified,60.3,0.608,RETFound multimodal (concatenated CFP+OCT feature embeddings with fully connected classifier),95% specificity,claude_pdf,0.7000,0.6916,0.7083,0.9500,0.9449,0.9547,11671,7525,2025+,very large,non-Asia,internal,expert_clinical,unclear,deep learning
Gomez-Valverde (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Gomez-Valverde (2019).pdf,04_fulltext/pdfs/Gomez-Valverde (2019).pdf,VGG19 (transfer learning),108,16,50,405,124,455,0.871,0.8901,0.942,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,VGG19 with ImageNet transfer learning + fine-tuning,Youden index,claude_pdf,0.8710,0.8006,0.9190,0.8901,0.8580,0.9156,124,455,2015-19,medium,non-Asia,internal,expert_clinical,unclear,deep learning
Gomez-Valverde (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Gomez-Valverde (2019).pdf,04_fulltext/pdfs/Gomez-Valverde (2019).pdf,VGG19 (full training),102,22,60,395,124,455,0.8226,0.8681,0.8971,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,VGG19 trained from scratch,Youden index,claude_pdf,0.8226,0.7460,0.8798,0.8681,0.8339,0.8962,124,455,2015-19,medium,non-Asia,internal,expert_clinical,unclear,deep learning
Gomez-Valverde (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Gomez-Valverde (2019).pdf,04_fulltext/pdfs/Gomez-Valverde (2019).pdf,ResNet50 (transfer learning),114,10,91,364,124,455,0.9194,0.8,0.93,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,ResNet50 with ImageNet transfer learning + fine-tuning,Youden index,claude_pdf,0.9194,0.8579,0.9556,0.8000,0.7608,0.8342,124,455,2015-19,medium,non-Asia,internal,expert_clinical,unclear,deep learning
Gomez-Valverde (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Gomez-Valverde (2019).pdf,04_fulltext/pdfs/Gomez-Valverde (2019).pdf,ResNet50 (full training),104,20,63,392,124,455,0.8387,0.8615,0.9193,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,ResNet50 trained from scratch,Youden index,claude_pdf,0.8387,0.7640,0.8931,0.8615,0.8268,0.8903,124,455,2015-19,medium,non-Asia,internal,expert_clinical,unclear,deep learning
Gomez-Valverde (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Gomez-Valverde (2019).pdf,04_fulltext/pdfs/Gomez-Valverde (2019).pdf,GoogLeNet (transfer learning),104,20,83,372,124,455,0.8387,0.8176,0.8994,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,GoogLeNet (Inception) with ImageNet transfer learning + fine-tuning,Youden index,claude_pdf,0.8387,0.7640,0.8931,0.8176,0.7795,0.8504,124,455,2015-19,medium,non-Asia,internal,expert_clinical,unclear,deep learning
Gomez-Valverde (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Gomez-Valverde (2019).pdf,04_fulltext/pdfs/Gomez-Valverde (2019).pdf,GoogLeNet (full training),105,19,58,397,124,455,0.8468,0.8725,0.9269,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,GoogLeNet (Inception) trained from scratch,Youden index,claude_pdf,0.8468,0.7731,0.8997,0.8725,0.8387,0.9001,124,455,2015-19,medium,non-Asia,internal,expert_clinical,unclear,deep learning
Gomez-Valverde (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Gomez-Valverde (2019).pdf,04_fulltext/pdfs/Gomez-Valverde (2019).pdf,DENet Disc (transfer learning),97,27,41,414,124,455,0.7823,0.9099,0.9142,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,DENet Disc (ResNet-based) with ORIGA pre-training + fine-tuning,Youden index,claude_pdf,0.7823,0.7017,0.8458,0.9099,0.8800,0.9329,124,455,2015-19,medium,non-Asia,internal,expert_clinical,unclear,deep learning
Gomez-Valverde (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Gomez-Valverde (2019).pdf,04_fulltext/pdfs/Gomez-Valverde (2019).pdf,DENet Disc (full training),98,26,113,342,124,455,0.7903,0.7516,0.8371,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,DENet Disc trained from scratch,Youden index,claude_pdf,0.7903,0.7105,0.8527,0.7516,0.7100,0.7891,124,455,2015-19,medium,non-Asia,internal,expert_clinical,unclear,deep learning
Gomez-Valverde (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Gomez-Valverde (2019).pdf,04_fulltext/pdfs/Gomez-Valverde (2019).pdf,Standard CNN (custom 15-layer),98,26,59,396,124,455,0.7903,0.8703,0.8969,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,Custom 15-layer CNN trained from scratch,Youden index,claude_pdf,0.7903,0.7105,0.8527,0.8703,0.8363,0.8981,124,455,2015-19,medium,non-Asia,internal,expert_clinical,unclear,deep learning
Gomez-Valverde (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Gomez-Valverde (2019).pdf,04_fulltext/pdfs/Gomez-Valverde (2019).pdf,Expert ophthalmologists (>5 yrs experience),123,37,188,1547,160,1735,0.7688,0.8916,n/r,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,Expert ophthalmologists (>5 yrs experience),n/r,claude_pdf,0.7688,0.6976,0.8273,0.8916,0.8761,0.9054,160,1735,2015-19,large,non-Asia,internal,expert_clinical,unclear,human reader
Gomez-Valverde (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Gomez-Valverde (2019).pdf,04_fulltext/pdfs/Gomez-Valverde (2019).pdf,Non-expert ophthalmologists,94,66,242,1493,160,1735,0.5875,0.8605,n/r,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,Non-expert ophthalmologists,n/r,claude_pdf,0.5875,0.5100,0.6609,0.8605,0.8434,0.8760,160,1735,2015-19,large,non-Asia,internal,expert_clinical,unclear,human reader
Bowd (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Bowd (2023).pdf,04_fulltext/pdfs/Bowd (2023).pdf,VGG-16 Texture-based en face image,283,180,6,124,463,130,0.6112,0.9538,"0.83 (0.79, 0.86)",eye,OCT,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,56.3,0.781,"VGG-16 CNN (single-modal, texture en face)",95% specificity,claude_pdf,0.6112,0.5661,0.6545,0.9538,0.9030,0.9787,463,130,2020-24,medium,non-Asia,internal,multimodal_objective,unclear,deep learning
Bowd (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Bowd (2023).pdf,04_fulltext/pdfs/Bowd (2023).pdf,VGG-16 RNFL thickness map,289,174,6,124,463,130,0.6242,0.9538,"0.84 (0.81, 0.87)",eye,OCT,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,56.3,0.781,"VGG-16 CNN (single-modal, RNFL thickness map)",95% specificity,claude_pdf,0.6242,0.5792,0.6671,0.9538,0.9030,0.9787,463,130,2020-24,medium,non-Asia,internal,multimodal_objective,unclear,deep learning
Bowd (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Bowd (2023).pdf,04_fulltext/pdfs/Bowd (2023).pdf,VGG-16 SLO image,215,248,6,124,463,130,0.4644,0.9538,"0.68 (0.61, 0.74)",eye,OCT,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,56.3,0.781,"VGG-16 CNN (single-modal, cSLO image)",95% specificity,claude_pdf,0.4644,0.4194,0.5099,0.9538,0.9030,0.9787,463,130,2020-24,medium,non-Asia,internal,multimodal_objective,unclear,deep learning
Bowd (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Bowd (2023).pdf,04_fulltext/pdfs/Bowd (2023).pdf,Multimodal VGG-16 Texture + RNFL,323,140,6,124,463,130,0.6976,0.9538,"0.89 (0.86, 0.92)",eye,OCT,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,56.3,0.781,Multimodal VGG-16 CNN (texture en face + RNFL thickness),95% specificity,claude_pdf,0.6976,0.6543,0.7377,0.9538,0.9030,0.9787,463,130,2020-24,medium,non-Asia,internal,multimodal_objective,unclear,deep learning
Bowd (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Bowd (2023).pdf,04_fulltext/pdfs/Bowd (2023).pdf,Multimodal VGG-16 RNFL + SLO,296,167,6,124,463,130,0.6393,0.9538,"0.85 (0.84, 0.87)",eye,OCT,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,56.3,0.781,Multimodal VGG-16 CNN (RNFL thickness + SLO),95% specificity,claude_pdf,0.6393,0.5946,0.6817,0.9538,0.9030,0.9787,463,130,2020-24,medium,non-Asia,internal,multimodal_objective,unclear,deep learning
Bowd (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Bowd (2023).pdf,04_fulltext/pdfs/Bowd (2023).pdf,Multimodal VGG-16 Texture + SLO,291,172,6,124,463,130,0.6285,0.9538,"0.85 (0.83, 0.87)",eye,OCT,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,56.3,0.781,Multimodal VGG-16 CNN (texture en face + SLO),95% specificity,claude_pdf,0.6285,0.5836,0.6713,0.9538,0.9030,0.9787,463,130,2020-24,medium,non-Asia,internal,multimodal_objective,unclear,deep learning
Bowd (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Bowd (2023).pdf,04_fulltext/pdfs/Bowd (2023).pdf,Multimodal VGG-16 Texture + RNFL + SLO,329,134,6,124,463,130,0.7106,0.9538,"0.91 (0.87, 0.95)",eye,OCT,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,56.3,0.781,Multimodal VGG-16 CNN (texture en face + RNFL thickness + SLO),95% specificity,claude_pdf,0.7106,0.6677,0.7500,0.9538,0.9030,0.9787,463,130,2020-24,medium,non-Asia,internal,multimodal_objective,unclear,deep learning
Elangovan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Elangovan (2022).pdf,04_fulltext/pdfs/Elangovan (2022).pdf,En-ConvNet ensemble (DRISHTI-GS1-R),513,0,67,433,513,500,1.0,0.866,n/r,image,fundus,expert ophthalmologist,mixed,internal,retrospective,no,confirmed,unspecified,n/r,n/r,Stacking ensemble of Xception + VGG-16 + Resnet-50 with SVM meta-classifier,n/r,claude_pdf,1.0000,0.9926,1.0000,0.8660,0.8333,0.8931,513,500,2020-24,large,mixed,internal,expert_clinical,unclear,deep learning
Elangovan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Elangovan (2022).pdf,04_fulltext/pdfs/Elangovan (2022).pdf,En-ConvNet ensemble (ORIGA-R),368,142,110,615,510,725,0.7216,0.8483,n/r,image,fundus,expert ophthalmologist,mixed,internal,retrospective,no,confirmed,unspecified,n/r,n/r,Stacking ensemble of Googlenet + VGG-16 + VGG-19 with SVM meta-classifier,n/r,claude_pdf,0.7216,0.6811,0.7587,0.8483,0.8203,0.8726,510,725,2020-24,large,mixed,internal,expert_clinical,unclear,deep learning
Elangovan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Elangovan (2022).pdf,04_fulltext/pdfs/Elangovan (2022).pdf,En-ConvNet ensemble (RIM-ONE2-R),275,25,34,346,300,380,0.9167,0.9105,n/r,image,fundus,expert ophthalmologist,mixed,internal,retrospective,no,confirmed,unspecified,n/r,n/r,Stacking ensemble of Resnet-50 + VGG-19 + Densenet-201 with SVM meta-classifier,n/r,claude_pdf,0.9167,0.8799,0.9429,0.9105,0.8776,0.9353,300,380,2020-24,medium,mixed,internal,expert_clinical,unclear,deep learning
Elangovan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Elangovan (2022).pdf,04_fulltext/pdfs/Elangovan (2022).pdf,En-ConvNet ensemble (ACRIMA-R),1180,10,2,928,1190,930,0.9916,0.9978,n/r,image,fundus,expert ophthalmologist,mixed,internal,retrospective,no,confirmed,unspecified,n/r,n/r,Stacking ensemble of Resnet-101 + Densenet-201 + Inception-v3 with SVM meta-classifier,n/r,claude_pdf,0.9916,0.9846,0.9954,0.9978,0.9922,0.9994,1190,930,2020-24,large,mixed,internal,expert_clinical,unclear,deep learning
Elangovan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Elangovan (2022).pdf,04_fulltext/pdfs/Elangovan (2022).pdf,En-ConvNet ensemble (LAG-R),1022,5,3,940,1027,943,0.9951,0.9968,n/r,image,fundus,expert ophthalmologist,mixed,internal,retrospective,no,confirmed,unspecified,n/r,n/r,Stacking ensemble of Resnet-18 + Resnet-101 + Densenet-201 with SVM meta-classifier,n/r,claude_pdf,0.9951,0.9887,0.9979,0.9968,0.9907,0.9989,1027,943,2020-24,large,mixed,internal,expert_clinical,unclear,deep learning
Sivakumar (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Sivakumar (2025).pdf,04_fulltext/pdfs/Sivakumar (2025).pdf,ViT + ResNet50,1034,90,262,1488,1124,1750,0.9199,0.8503,n/r,image,fundus,other,mixed,internal,retrospective,no,confirmed,unspecified,n/r,0.391,Vision Transformer + ResNet50 hybrid,0.5,claude_pdf,0.9199,0.9026,0.9344,0.8503,0.8328,0.8662,1124,1750,2025+,large,mixed,internal,other,unclear,deep learning
Sivakumar (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Sivakumar (2025).pdf,04_fulltext/pdfs/Sivakumar (2025).pdf,OWL-ViT + ResNet50,1111,13,5,1745,1124,1750,0.9884,0.9971,n/r,image,fundus,other,mixed,internal,retrospective,no,confirmed,unspecified,n/r,0.391,OWL-ViT + ResNet50 hybrid,0.5,claude_pdf,0.9884,0.9803,0.9932,0.9971,0.9933,0.9988,1124,1750,2025+,large,mixed,internal,other,unclear,deep learning
Sivakumar (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Sivakumar (2025).pdf,04_fulltext/pdfs/Sivakumar (2025).pdf,Swin Transformer + ResNet50 (multi-modal fusion),1111,9,8,1746,1120,1754,0.992,0.9954,n/r,image,fundus,other,mixed,internal,retrospective,no,confirmed,unspecified,n/r,0.391,Swin Transformer + ResNet50 + Random Forest (clinical biomarkers) fusion,0.5,claude_pdf,0.9920,0.9848,0.9958,0.9954,0.9910,0.9977,1120,1754,2025+,large,mixed,internal,other,unclear,deep learning
Eswari (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Eswari (2024).pdf,04_fulltext/pdfs/Eswari (2024).pdf,FRCNN,393,32,72,968,425,1040,0.9247,0.9308,n/r,image,fundus,other,Europe,internal,retrospective,no,screening,unspecified,n/r,0.29,Faster R-CNN,0.3,claude_pdf,0.9247,0.8956,0.9462,0.9308,0.9137,0.9447,425,1040,2020-24,large,non-Asia,internal,other,unclear,deep learning
Eswari (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Eswari (2024).pdf,04_fulltext/pdfs/Eswari (2024).pdf,AFRCNN,397,28,61,979,425,1040,0.9341,0.9413,n/r,image,fundus,other,Europe,internal,retrospective,no,screening,unspecified,n/r,0.29,Adaptive gradient algorithm optimizer Faster R-CNN,0.3,claude_pdf,0.9341,0.9064,0.9540,0.9413,0.9254,0.9541,425,1040,2020-24,large,non-Asia,internal,other,unclear,deep learning
Eswari (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Eswari (2024).pdf,04_fulltext/pdfs/Eswari (2024).pdf,SVM,396,29,62,978,425,1040,0.9318,0.9404,n/r,image,fundus,other,Europe,internal,retrospective,no,screening,unspecified,n/r,0.29,Support Vector Machine (RBF kernel) within FRCNN,0.3,claude_pdf,0.9318,0.9037,0.9521,0.9404,0.9243,0.9532,425,1040,2020-24,large,non-Asia,internal,other,unclear,deep learning
Eswari (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Eswari (2024).pdf,04_fulltext/pdfs/Eswari (2024).pdf,AAASVM,399,26,55,985,425,1040,0.9388,0.9471,"0.87 (average of 0.90 G1020, 0.85 HRF, 0.87 DRIVE)",image,fundus,other,Europe,internal,retrospective,no,screening,unspecified,n/r,0.29,Artificial Algae Algorithm-optimized SVM within FRCNN (TernausNet segmentation),0.3,claude_pdf,0.9388,0.9119,0.9579,0.9471,0.9318,0.9591,425,1040,2020-24,large,non-Asia,internal,other,unclear,deep learning
Lin (2022)b,2022,projects/glaucoma-dl-dta-nma/pdfs/Lin (2022)b.pdf,04_fulltext/pdfs/Lin (2022)b.pdf,"POAGNet (Siamese, DenseNet-201 backbone)",357,121,364,5925,478,6289,0.7469,0.9421,0.9587,image,fundus,expert ophthalmologist,mixed,internal,cross-sectional,no,confirmed,POAG,n/r,0.062,Siamese DenseNet-201 with side output + convolutional similarity,n/r,claude_pdf,0.7469,0.7060,0.7838,0.9421,0.9361,0.9476,478,6289,2020-24,very large,mixed,internal,expert_clinical,unclear,deep learning
Lin (2022)b,2022,projects/glaucoma-dl-dta-nma/pdfs/Lin (2022)b.pdf,04_fulltext/pdfs/Lin (2022)b.pdf,DenseNet-201 (single image),349,129,382,5907,478,6289,0.7301,0.9393,0.875,image,fundus,expert ophthalmologist,mixed,internal,cross-sectional,no,confirmed,POAG,n/r,0.062,DenseNet-201,n/r,claude_pdf,0.7301,0.6886,0.7680,0.9393,0.9331,0.9449,478,6289,2020-24,very large,mixed,internal,expert_clinical,unclear,deep learning
Lin (2022)b,2022,projects/glaucoma-dl-dta-nma/pdfs/Lin (2022)b.pdf,04_fulltext/pdfs/Lin (2022)b.pdf,EfficientNetB0 (single image),242,236,504,5785,478,6289,0.5063,0.9199,0.8379,image,fundus,expert ophthalmologist,mixed,internal,cross-sectional,no,confirmed,POAG,n/r,0.062,EfficientNetB0,n/r,claude_pdf,0.5063,0.4616,0.5509,0.9199,0.9129,0.9263,478,6289,2020-24,very large,mixed,internal,expert_clinical,unclear,deep learning
Lin (2022)b,2022,projects/glaucoma-dl-dta-nma/pdfs/Lin (2022)b.pdf,04_fulltext/pdfs/Lin (2022)b.pdf,MobileNetV2 (single image; Thakur et al replication),360,118,1624,4665,478,6289,0.7531,0.7418,0.8124,image,fundus,expert ophthalmologist,mixed,internal,cross-sectional,no,confirmed,POAG,n/r,0.062,MobileNetV2,n/r,claude_pdf,0.7531,0.7126,0.7897,0.7418,0.7308,0.7524,478,6289,2020-24,very large,mixed,internal,expert_clinical,unclear,deep learning
Lin (2022)b,2022,projects/glaucoma-dl-dta-nma/pdfs/Lin (2022)b.pdf,04_fulltext/pdfs/Lin (2022)b.pdf,ResNet-50 (single image; Fan et al replication),326,152,758,5531,478,6289,0.682,0.8795,0.865,image,fundus,expert ophthalmologist,mixed,internal,cross-sectional,no,confirmed,POAG,n/r,0.062,ResNet-50,n/r,claude_pdf,0.6820,0.6390,0.7222,0.8795,0.8712,0.8873,478,6289,2020-24,very large,mixed,internal,expert_clinical,unclear,deep learning
Lin (2022)b,2022,projects/glaucoma-dl-dta-nma/pdfs/Lin (2022)b.pdf,04_fulltext/pdfs/Lin (2022)b.pdf,POAGNet (absolute distance),327,151,478,5811,478,6289,0.6841,0.924,0.9075,image,fundus,expert ophthalmologist,mixed,internal,cross-sectional,no,confirmed,POAG,n/r,0.062,Siamese DenseNet-201 with absolute distance,n/r,claude_pdf,0.6841,0.6411,0.7242,0.9240,0.9172,0.9303,478,6289,2020-24,very large,mixed,internal,expert_clinical,unclear,deep learning
Lin (2022)b,2022,projects/glaucoma-dl-dta-nma/pdfs/Lin (2022)b.pdf,04_fulltext/pdfs/Lin (2022)b.pdf,POAGNet (w/o side output),373,105,532,5757,478,6289,0.7803,0.9154,0.9236,image,fundus,expert ophthalmologist,mixed,internal,cross-sectional,no,confirmed,POAG,n/r,0.062,Siamese DenseNet-201 without deep supervision,n/r,claude_pdf,0.7803,0.7411,0.8151,0.9154,0.9083,0.9220,478,6289,2020-24,very large,mixed,internal,expert_clinical,unclear,deep learning
Camacho-Garcia-Forment (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Camacho-Garcia-Forment (2025).pdf,04_fulltext/pdfs/Camacho-Garcia-Forment (2025).pdf,retinIA (Inception V3 + U-Net CDR),29,17,11,188,46,199,0.6304,0.9447,0.848,patient,fundus,expert ophthalmologist,North America,external,prospective,yes,screening,unspecified,59.1,0.188,Inception V3 multi-output classifier + U-Net optic disc/cup segmentation,CDR >= 0.55 (max F1),claude_pdf,0.6304,0.4860,0.7548,0.9447,0.9037,0.9689,46,199,2025+,medium,non-Asia,external,expert_clinical,unclear,deep learning
Camacho-Garcia-Forment (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Camacho-Garcia-Forment (2025).pdf,04_fulltext/pdfs/Camacho-Garcia-Forment (2025).pdf,First-year ophthalmology residents,23,23,19,180,46,199,0.5,0.9045,0.801,patient,fundus,expert ophthalmologist,North America,external,prospective,yes,screening,unspecified,59.1,0.188,First-year ophthalmology residents,clinical diagnosis,claude_pdf,0.5000,0.3612,0.6388,0.9045,0.8557,0.9380,46,199,2025+,medium,non-Asia,external,expert_clinical,unclear,human reader
Camacho-Garcia-Forment (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Camacho-Garcia-Forment (2025).pdf,04_fulltext/pdfs/Camacho-Garcia-Forment (2025).pdf,Synergistic (AI OR resident),37,9,27,172,46,199,0.8043,0.8643,0.898,patient,fundus,expert ophthalmologist,North America,external,prospective,yes,screening,unspecified,59.1,0.188,Inception V3 + U-Net combined with resident assessment (OR rule),either AI (CDR>=0.55) or resident positive,claude_pdf,0.8043,0.6683,0.8935,0.8643,0.8098,0.9051,46,199,2025+,medium,non-Asia,external,expert_clinical,unclear,human reader
Gaddipati (2021),2022,projects/glaucoma-dl-dta-nma/pdfs/Gaddipati (2021).pdf,04_fulltext/pdfs/Gaddipati (2021).pdf,Fefu model (Fundus + Fundus-to-OCT mapped features),154,16,49,349,170,398,0.9059,0.8769,0.9429,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.299,VGG-19 dual-branch (Ff + Ff-o) with CGAN mapping and FCN fusion,Youden index optimum,claude_pdf,0.9059,0.8526,0.9412,0.8769,0.8410,0.9056,170,398,2020-24,medium,Asia,internal,expert_clinical,unclear,deep learning
Gaddipati (2021),2022,projects/glaucoma-dl-dta-nma/pdfs/Gaddipati (2021).pdf,04_fulltext/pdfs/Gaddipati (2021).pdf,Ff-o only (Fundus-to-OCT mapped features),150,20,59,339,170,398,0.8824,0.8518,0.924,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.299,VGG-19 trained on CGAN-generated OCT-mapped feature soft labels,Youden index optimum,claude_pdf,0.8824,0.8253,0.9225,0.8518,0.8135,0.8833,170,398,2020-24,medium,Asia,internal,expert_clinical,unclear,deep learning
