Study,Year,Test_arm,AI_algorithm,Number_of_human_readers,Reader_experience_yrs,Validation_type,Reference_standard,Threshold_cutoff,Unit,Imaging_modality,Scan_target
Song (2025),2025,Concatenated Model,CNN + ANN concatenated neural network,n/r,n/r,internal,visual field mean defect (V-MD) severity classification,p_hat > 0.5,eye,multimodal,fundus/ONH-macula ROI + macula and RNFL thickness
Gheisari (2021),2021,VGG16,VGG16 CNN,n/r,n/r,internal,clinical glaucoma specialist diagnosis,n/r,image,fundus,ONH
Gheisari (2021),2021,ResNet50,ResNet50 CNN,n/r,n/r,internal,clinical glaucoma specialist diagnosis,n/r,image,fundus,ONH
Gheisari (2021),2021,VGG16 + LSTM,VGG16 CNN + LSTM RNN,n/r,n/r,internal,clinical glaucoma specialist diagnosis,n/r,image,fundus,ONH
Gheisari (2021),2021,ResNet50 + LSTM,ResNet50 CNN + LSTM RNN,n/r,n/r,internal,clinical glaucoma specialist diagnosis,n/r,image,fundus,ONH
Haider (2023),2023,FBSS-Net segmentation-based glaucoma classification on Rim-One-r3,feature-blending-based shallow segmentation network (FBSS-Net) using optic disc/optic cup segmentation and vCDR/non-vCDR features,n/r,n/r,external,Rim-One-r3 dataset glaucoma/non-glaucoma labels with ground-truth OD/OC annotations,n/r,image,fundus,ONH
Haider (2023),2023,FBSS-Net segmentation-based glaucoma classification on REFUGE,feature-blending-based shallow segmentation network (FBSS-Net) using optic disc/optic cup segmentation and vCDR/non-vCDR features,n/r,n/r,external,REFUGE dataset glaucoma/non-glaucoma labels with ground-truth OD/OC annotations,n/r,image,fundus,ONH
Singh (2022),2022,Univariate feature selection + KNN,Univariate feature selection of 9 handcrafted fundus features + K-nearest neighbour classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Singh (2022),2022,Univariate feature selection + random forest,Univariate feature selection of 9 handcrafted fundus features + random forest classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Singh (2022),2022,Univariate feature selection + decision tree,Univariate feature selection of 9 handcrafted fundus features + decision tree classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Singh (2022),2022,Univariate feature selection + SVM,Univariate feature selection of 9 handcrafted fundus features + support vector machine classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Singh (2022),2022,Univariate feature selection + CPSO + KNN,Univariate feature selection + customized particle swarm optimization feature-subset selection + K-nearest neighbour classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Singh (2022),2022,Univariate feature selection + CPSO + random forest,Univariate feature selection + customized particle swarm optimization feature-subset selection + random forest classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Singh (2022),2022,Univariate feature selection + CPSO + decision tree,Univariate feature selection + customized particle swarm optimization feature-subset selection + decision tree classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Singh (2022),2022,Univariate feature selection + CPSO + SVM,Univariate feature selection + customized particle swarm optimization feature-subset selection + support vector machine classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Singh (2022),2022,Feature importance selection + KNN,Feature-importance selection of 9 handcrafted fundus features + K-nearest neighbour classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Singh (2022),2022,Feature importance selection + random forest,Feature-importance selection of 9 handcrafted fundus features + random forest classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Singh (2022),2022,Feature importance selection + decision tree,Feature-importance selection of 9 handcrafted fundus features + decision tree classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Singh (2022),2022,Feature importance selection + SVM,Feature-importance selection of 9 handcrafted fundus features + support vector machine classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Singh (2022),2022,Feature importance selection + CPSO + KNN,Feature-importance selection + customized particle swarm optimization feature-subset selection + K-nearest neighbour classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Singh (2022),2022,Feature importance selection + CPSO + random forest,Feature-importance selection + customized particle swarm optimization feature-subset selection + random forest classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Singh (2022),2022,Feature importance selection + CPSO + decision tree,Feature-importance selection + customized particle swarm optimization feature-subset selection + decision tree classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Singh (2022),2022,Feature importance selection + CPSO + SVM,Feature-importance selection + customized particle swarm optimization feature-subset selection + support vector machine classifier,0,n/r,internal,DRIONS-DB dataset labels (glaucoma vs ocular hypertension); optic disc ground-truth markers created by two doctors,n/r,image,fundus,ONH
Szanto (2025),2025,Model A: full unmasked ONH OCT volume,ResNet-3D-18,n/r,n/r,internal,clinical diagnosis/source cohort labels,n/r,image,OCT,ONH volume
Szanto (2025),2025,Model B: peripapillary region only with ONH masked,ResNet-3D-18,n/r,n/r,internal,clinical diagnosis/source cohort labels,n/r,image,OCT,PPR
Szanto (2025),2025,Model C: ONH only with peripapillary region masked,ResNet-3D-18,n/r,n/r,internal,clinical diagnosis/source cohort labels,n/r,image,OCT,ONH
Alasmari (2025),2025,MaskFormer + Swin-Base,MaskFormer with Swin-Base backbone,n/r,n/r,internal,REFUGE glaucoma labels and OD/OC annotations,vCDR > 0.5,image,fundus,ONH
Alasmari (2025),2025,U-Net + ResNet50,U-Net with ResNet50 backbone,n/r,n/r,internal,REFUGE glaucoma labels and OD/OC annotations,vCDR > 0.5,image,fundus,ONH
Alasmari (2025),2025,U-Net + VGG16,U-Net with VGG16 backbone,n/r,n/r,internal,REFUGE glaucoma labels and OD/OC annotations,vCDR > 0.5,image,fundus,ONH
Alasmari (2025),2025,U-Net + MobileNetV2,U-Net with MobileNetV2 backbone,n/r,n/r,internal,REFUGE glaucoma labels and OD/OC annotations,vCDR > 0.5,image,fundus,ONH
Chavan (2025),2025,"GlaucoAttent Net on ORIGA, REFUGE, and G1020","cascaded U-Net with feature fusion, spatial attention, task-specific knowledge attention, OD/OC segmentation, and FCN/SoftMax severity classifier",n/r,n/r,internal,public dataset ground-truth OD/OC annotations and clinical glaucoma labels,n/r,image,fundus,ONH
Upadhyaya (2025b),2025,"Medios AI, liberal criterion",deep learning,n/r,n/r,external,tele-ophthalmologist diagnosis,disc suspect and referable glaucoma classified as referable glaucoma,patient,fundus,ONH
Upadhyaya (2025b),2025,"Medios AI, conservative criterion",deep learning,n/r,n/r,external,tele-ophthalmologist diagnosis,referable glaucoma classified as referable glaucoma; normal and disc suspect classified as normal,patient,fundus,ONH
Leonardo (2022),2022,MobileNetV2 original,MobileNetV2,n/r,n/r,internal,public dataset glaucoma labels,n/r,image,fundus,optic disc
Leonardo (2022),2022,EfficientNetB0 original,EfficientNetB0,n/r,n/r,internal,public dataset glaucoma labels,n/r,image,fundus,optic disc
Leonardo (2022),2022,EfficientNetB0 original plus improved plus degraded augmentation,EfficientNetB0 with CycleGAN-based image quality augmentation,n/r,n/r,internal,public dataset glaucoma labels,n/r,image,fundus,optic disc
Upadhyaya (2025),2025,Medios AI liberal criterion,deep learning,n/r,minimum 3 years ophthalmology + 1 year glaucoma fellowship,external,masked tele-ophthalmologist diagnosis from fundus photographs,disc suspect or referable glaucoma = positive; normal = negative,patient,fundus,ONH
Upadhyaya (2025),2025,Medios AI conservative criterion,deep learning,n/r,minimum 3 years ophthalmology + 1 year glaucoma fellowship,external,masked tele-ophthalmologist diagnosis from fundus photographs,referable glaucoma = positive; normal or disc suspect = negative,patient,fundus,ONH
Medeiros (2019),2019,OCT-trained DL prediction from optic disc photographs,ResNet34 convolutional neural network,n/r,n/r,internal,clinical glaucoma diagnosis versus healthy eyes; model trained to predict Spectralis SD-OCT average RNFL thickness,n/r,image,fundus,ONH
Wang (2021),2021,ONH-AlexNet,AlexNet,n/r,n/r,internal,labels/annotations by medical experts in source public datasets,n/r,image,fundus,ONH
Wang (2021),2021,3D map-AlexNet,AlexNet,n/r,n/r,internal,labels/annotations by medical experts in source public datasets,n/r,image,fundus-derived 3D topography map,ONH
Wang (2021),2021,AU ONH-AlexNet,AlexNet,n/r,n/r,internal,labels/annotations by medical experts in source public datasets,n/r,image,augmented fundus,ONH
Wang (2021),2021,ONH-VGG 16,VGG-16,n/r,n/r,internal,labels/annotations by medical experts in source public datasets,n/r,image,fundus,ONH
Wang (2021),2021,3D map-VGG 16,VGG-16,n/r,n/r,internal,labels/annotations by medical experts in source public datasets,n/r,image,fundus-derived 3D topography map,ONH
Wang (2021),2021,AU ONH-VGG 16,VGG-16,n/r,n/r,internal,labels/annotations by medical experts in source public datasets,n/r,image,augmented fundus,ONH
Wang (2023),2023,Mstnet,ResNet101 fundus branch + Video Swin Transformer OCT branch + spatial-relation multimodal feature fusion/self-attention classifier,n/r,n/r,internal,ophthalmologist labels,n/r,eye,multimodal,fundus + OCT volume/RNFL
Wang (2023),2023,Fundus-only branch,ResNet101,n/r,n/r,internal,ophthalmologist labels,n/r,eye,fundus,fundus
Wang (2023),2023,OCT-only branch,Video Swin Transformer,n/r,n/r,internal,ophthalmologist labels,n/r,eye,OCT,OCT volume/RNFL
Liu (2024),2024,Circular-ONH,ResNet18-based single scan-pattern model,n/r,n/r,internal,"expert diagnosis using comprehensive clinical evidence including visual field assessments, retinal layer thickness map, and other clinical indicators",n/r,eye,OCT,ONH
Liu (2024),2024,Radial-ONH,ResNet18-based single scan-pattern model,n/r,n/r,internal,"expert diagnosis using comprehensive clinical evidence including visual field assessments, retinal layer thickness map, and other clinical indicators",n/r,eye,OCT,ONH
Liu (2024),2024,Single-line-middle,ResNet18-based single scan-pattern model,n/r,n/r,internal,"expert diagnosis using comprehensive clinical evidence including visual field assessments, retinal layer thickness map, and other clinical indicators",n/r,eye,OCT,middle
Liu (2024),2024,Radial-macular,ResNet18-based single scan-pattern model,n/r,n/r,internal,"expert diagnosis using comprehensive clinical evidence including visual field assessments, retinal layer thickness map, and other clinical indicators",n/r,eye,OCT,macula
Liu (2024),2024,Volume-macular,ResNet18-based single scan-pattern model,n/r,n/r,internal,"expert diagnosis using comprehensive clinical evidence including visual field assessments, retinal layer thickness map, and other clinical indicators",n/r,eye,OCT,macula
Lian (2024),2024,CNN-vision transformer,Inception-ResNet-v2 feature extractor plus vision transformer encoder,n/r,n/r,internal,n/r,n/r,image,fundus,n/r
Liu (2024),2024,Circular-ONH,ResNet18-based single scan-pattern model,1,>10,internal,"expert classification using comprehensive clinical evidence including visual field assessments, RNFL thickness map, and other clinical indicators",n/r,eye,OCT,ONH
Liu (2024),2024,Radial-ONH,ResNet18-based single scan-pattern model,1,>10,internal,"expert classification using comprehensive clinical evidence including visual field assessments, RNFL thickness map, and other clinical indicators",n/r,eye,OCT,ONH
Liu (2024),2024,Single-line-middle,ResNet18-based single scan-pattern model,1,>10,internal,"expert classification using comprehensive clinical evidence including visual field assessments, RNFL thickness map, and other clinical indicators",n/r,eye,OCT,middle
Liu (2024),2024,Radial-macular,ResNet18-based single scan-pattern model,1,>10,internal,"expert classification using comprehensive clinical evidence including visual field assessments, RNFL thickness map, and other clinical indicators",n/r,eye,OCT,macula
Liu (2024),2024,Volume-macular,ResNet18-based single scan-pattern model,1,>10,internal,"expert classification using comprehensive clinical evidence including visual field assessments, RNFL thickness map, and other clinical indicators",n/r,eye,OCT,macula
Liu (2024),2024,ONH-region-based model,ResNet18 with attention multi-scan-pattern fusion module,1,>10,internal,"expert classification using comprehensive clinical evidence including visual field assessments, RNFL thickness map, and other clinical indicators",n/r,eye,OCT,ONH
Liu (2024),2024,Macular-region-based model,ResNet18 with attention multi-scan-pattern fusion module,1,>10,internal,"expert classification using comprehensive clinical evidence including visual field assessments, RNFL thickness map, and other clinical indicators",n/r,eye,OCT,macula
Liu (2024),2024,All-three-region-based model,ResNet18 with attention multi-scan-pattern fusion module and attention multi-region fusion module,1,>10,internal,"expert classification using comprehensive clinical evidence including visual field assessments, RNFL thickness map, and other clinical indicators",n/r,eye,OCT,"ONH, middle, macula"
Xu (2024),2024,Retinal nerve fiber layer thickness,ANN,2,n/r,internal,two senior glaucoma specialists independently diagnosed each eye as GON/non-GON using fundus images and OCT reports,n/r,eye,OCT,RNFL
Xu (2024),2024,Fundus image,Inception v3,2,n/r,internal,two senior glaucoma specialists independently diagnosed each eye as GON/non-GON using fundus images and OCT reports,n/r,eye,fundus,ONH
Xu (2024),2024,Dual-modal fusion network,OCT: ANN; fundus image: Inception v3,2,n/r,internal,two senior glaucoma specialists independently diagnosed each eye as GON/non-GON using fundus images and OCT reports,n/r,eye,multimodal,RNFL and ONH
Kui (2025),2025,BFNet on PAPIILA,PK-Net / Binocular Fusion Network with GloLocNet encoders and ConvNeXt backbone,n/r,n/r,internal,PAPIILA dataset glaucoma labels/clinical data,threshold producing highest balanced accuracy,eye,fundus,ONH
Kui (2025),2025,BFNet on OIA-ODIR,PK-Net / Binocular Fusion Network with GloLocNet encoders and ConvNeXt backbone,n/r,n/r,internal,OIA-ODIR dataset glaucoma labels,threshold producing highest balanced accuracy,eye,fundus,ONH
Kui (2025),2025,GloLocNet trained on ORIGA tested on REFUGE,GloLocNet dual-path global-local fusion network with ConvNeXt backbone,n/r,n/r,external,ORIGA/REFUGE dataset glaucoma labels,threshold producing highest balanced accuracy,image,fundus,ONH
Kui (2025),2025,GloLocNet on GAMMA,GloLocNet dual-path global-local fusion network with ConvNeXt backbone,n/r,n/r,internal,GAMMA dataset glaucoma grading labels,threshold producing highest balanced accuracy,image,fundus,ONH
Sangchocanonta (2025),2025,ConvNeXt-S + Local + Donut — GlauCUTU internal,ConvNeXt-S CNN using local fundus images with donut augmentation,n/r,n/r,internal,GlauCUTU-DATA ophthalmologist consensus/majority labels,n/r,image,fundus,ONH
Sangchocanonta (2025),2025,ConvNeXt-S + Polar + Donut — GlauCUTU internal,ConvNeXt-S CNN using polar-transformed fundus images with donut augmentation,n/r,n/r,internal,GlauCUTU-DATA ophthalmologist consensus/majority labels,n/r,image,fundus,ONH
Sangchocanonta (2025),2025,DeiT-S + Polar + Donut — GlauCUTU internal,DeiT-S vision transformer using polar-transformed fundus images with donut augmentation,n/r,n/r,internal,GlauCUTU-DATA ophthalmologist consensus/majority labels,n/r,image,fundus,ONH
Sangchocanonta (2025),2025,DeiT-S + Polar + Pie — GlauCUTU internal,DeiT-S vision transformer using polar-transformed fundus images with pie augmentation,n/r,n/r,internal,GlauCUTU-DATA ophthalmologist consensus/majority labels,n/r,image,fundus,ONH
Sangchocanonta (2025),2025,DeiT-S + Polar + Pie — DRISHTI-GS1 external,DeiT-S vision transformer using polar-transformed fundus images with pie augmentation,n/r,n/r,external,DRISHTI-GS1 public dataset ground-truth labels,n/r,image,fundus,ONH
Luo (2021),2021,FCL-EfficientNet-B3,EfficientNet-B3 CNN with CLAHE preprocessing and focal-correntropy mixture loss,n/r,n/r,internal,trained ophthalmologist annotation,n/r,image,fundus,retina
Xiong (2025),2025,REFUGE test set,"Multi-task CNN with OD segmentation, blood vessel segmentation, and ResNet50 glaucoma detection branches",n/r,n/r,internal,REFUGE dataset label for with/without glaucoma; adjudication method n/r,n/r,image,fundus,whole fundus/optic disc
Xiong (2025),2025,ACRIMA test set,"Multi-task CNN with OD segmentation, blood vessel segmentation, and ResNet50 glaucoma detection branches",n/r,n/r,internal,ACRIMA dataset label for with/without glaucoma; adjudication method n/r,n/r,image,fundus,whole fundus/optic disc
Surya (2023),2023,Glaucoma clinic,modified VGG architecture,3,n/r,internal,retina grader,n/r,patient,fundus,ONH
Surya (2023),2023,Retina clinic,modified VGG architecture,3,n/r,internal,glaucoma grader,n/r,patient,fundus,ONH
Surya (2023),2023,Physician clinic,modified VGG architecture,6,n/r,internal,retina and glaucoma specialist graders,n/r,patient,fundus,ONH
Rao (2024),2024,smartphone-based portable fundus camera FOP NM-10 monoscopic disc-centred fundus images,cup and disc segmentation model plus binary classification model; ResNet-50 architecture,3,1,external,final diagnosis by glaucoma specialists following comprehensive glaucoma work-up,referable glaucoma vs no referable glaucoma; high VCDR 0.70-0.85 and no other glaucomatous disc changes classified as disc suspect/non-urgent referral,patient,fundus,ONH
Atalay (2022),2022,Glaucoma vs normal - ResNet-50,ResNet-50,3,n/r,internal,expert clinician labeling of fundus photographs using optic disc/cup and retinal nerve fiber criteria; consensus of two glaucoma specialists or majority/final third expert adjudication,n/r,image,fundus,ONH
Atalay (2022),2022,Glaucoma vs normal - ResNet-101,ResNet-101,3,n/r,internal,expert clinician labeling of fundus photographs using optic disc/cup and retinal nerve fiber criteria; consensus of two glaucoma specialists or majority/final third expert adjudication,n/r,image,fundus,ONH
Atalay (2022),2022,Glaucoma vs normal - VGG-19,VGG-19,3,n/r,internal,expert clinician labeling of fundus photographs using optic disc/cup and retinal nerve fiber criteria; consensus of two glaucoma specialists or majority/final third expert adjudication,n/r,image,fundus,ONH
Atalay (2022),2022,Glaucoma vs normal - 2D CNN,custom 2D CNN,3,n/r,internal,expert clinician labeling of fundus photographs using optic disc/cup and retinal nerve fiber criteria; consensus of two glaucoma specialists or majority/final third expert adjudication,n/r,image,fundus,ONH
Atalay (2022),2022,Glaucoma suspect vs normal - ResNet-101,ResNet-101,3,n/r,internal,expert clinician labeling of fundus photographs using optic disc/cup and retinal nerve fiber criteria; consensus of two glaucoma specialists or majority/final third expert adjudication,n/r,image,fundus,ONH
Atalay (2022),2022,Glaucoma suspect vs glaucoma - ResNet-101,ResNet-101,3,n/r,internal,expert clinician labeling of fundus photographs using optic disc/cup and retinal nerve fiber criteria; consensus of two glaucoma specialists or majority/final third expert adjudication,n/r,image,fundus,ONH
Xu (2021)a,2021,"TIA-Net (SOD+Attention), own dataset",transfer induced attention network; CNN with channel-wise attention and maximum mean discrepancy,n/r,n/r,internal,manual diagnosis/labels by professional ophthalmologists,n/r,image,fundus,ONH
Xu (2021)a,2021,"TIA-Net (SOD+Attention), ORIGA dataset",transfer induced attention network; CNN with channel-wise attention and maximum mean discrepancy,n/r,n/r,external,ORIGA dataset labels; exact standard n/r,n/r,image,fundus,ONH
Guo (2021),2021,MobileNetV2 multi-class classification,MobileNetV2,n/r,n/r,internal,retinal specialist verified dataset labels,softmax class prediction,image,fundus,retina
Guo (2021),2021,InceptionV3 comparator,InceptionV3,n/r,n/r,internal,retinal specialist verified dataset labels,softmax class prediction,image,fundus,retina
Guo (2021),2021,AlexNet comparator,AlexNet,n/r,n/r,internal,retinal specialist verified dataset labels,softmax class prediction,image,fundus,retina
Guo (2022)b,2022,MTCLF on LAG,multitask curriculum learning framework with teacher-student CNN; ResNet-34 teacher with GC/self-attention block and dual-branch ResBlock student network,n/r,n/r,internal,glaucoma expert labels,n/r,image,fundus,ONH
Guo (2022)b,2022,MTCLF on ORIGA,multitask curriculum learning framework with teacher-student CNN; ResNet-34 teacher with GC/self-attention block and dual-branch ResBlock student network,n/r,n/r,external,glaucoma diagnosis results,n/r,image,fundus,ONH
Mansour (2021),2021,Perceptron based Convolutional Multi-Layer Neural Network on RIM-ONE,entropy-based CNN segmentation with weighted least squares features and perceptron based convolutional multi-layer neural network classification,2,n/r,internal,annotations by two ophthalmologists in RIM-ONE dataset,n/r,image,fundus,ONH
Mansour (2021),2021,Perceptron based Convolutional Multi-Layer Neural Network on DRISHTI-GS,entropy-based CNN segmentation with weighted least squares features and perceptron based convolutional multi-layer neural network classification,4,n/r,internal,average optic cup and optic disc borders from four professional graders in DRISHTI-GS dataset,n/r,image,fundus,ONH
Xue (2022),2022,MFDL,"ResNet-based multi-feature deep learning with three-phase screening, DetectionNet, and ClassificationNet",n/r,n/r,internal,three experienced glaucoma experts using American Academy of Ophthalmology glaucoma severity guidelines; consensus grading,IOP >21 mmHg for phase-1 screening; model probability cutoff n/r,eye,multimodal,"IOP, ONH fundus ROI, visual field"
Xue (2022),2022,DFC-DL,direct four-class deep learning classifier,n/r,n/r,internal,three experienced glaucoma experts using American Academy of Ophthalmology glaucoma severity guidelines; consensus grading,n/r,eye,multimodal,"IOP, ONH fundus ROI, visual field"
Xue (2022),2022,CFP-DL,ResNet-based single-feature deep learning classifier,n/r,n/r,internal,three experienced glaucoma experts using American Academy of Ophthalmology glaucoma severity guidelines; consensus grading,n/r,eye,fundus,ONH
Xue (2022),2022,VF-DL,ResNet-based single-feature deep learning classifier,n/r,n/r,internal,three experienced glaucoma experts using American Academy of Ophthalmology glaucoma severity guidelines; consensus grading,n/r,eye,visual field,visual field
Xue (2022),2022,MFDL-assisted ophthalmologists,MFDL decision support,14,8 juniors: 1-2; 3 seniors: 4-5; 3 experts: 15,internal,three experienced glaucoma experts using American Academy of Ophthalmology glaucoma severity guidelines; consensus grading,n/r,eye,multimodal,"IOP, ONH fundus ROI, visual field"
Singh (2023),2023,ABC + ML classifiers,"Artificial Bee Colony feature selection with Random Forest, SVM, and ensemble of RF/SVM/logistic regression classifiers",n/r,n/r,internal,public ORIGA/REFUGE dataset labels; exact clinical reference standard n/r,n/r,image,fundus,ONH
Singh (2023),2023,PSO + ML classifiers,"Particle Swarm Optimization feature selection with Random Forest, SVM, and ensemble of RF/SVM/logistic regression classifiers",n/r,n/r,internal,public ORIGA/REFUGE dataset labels; exact clinical reference standard n/r,n/r,image,fundus,ONH
Singh (2023),2023,BCS + ML classifiers,"Binary Cuckoo Search feature selection with Random Forest, SVM, and ensemble of RF/SVM/logistic regression classifiers",n/r,n/r,internal,public ORIGA/REFUGE dataset labels; exact clinical reference standard n/r,n/r,image,fundus,ONH
Singh (2023),2023,Two-layer PSO-ABC + ML classifiers,"Two-layer feature selection using PSO followed by ABC, evaluated with RF, SVM, and ensemble classifier combinations",n/r,n/r,internal,public ORIGA/REFUGE dataset labels; exact clinical reference standard n/r,n/r,image,fundus,ONH
